Datetime,Text,Hyperlink
2014-01-01,2013/5710 Ordu İlinde Bulunan Bazı Taşınmazların Ordu Üniversitesi Tarafından Acele Kamulaştırılması Hakkında Karar,https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-1.htm
2014-01-01,2013/5761 Bazı Mallara Uygulanan Vergi ve Fonlara İlişkin Oran ve Tutarların Yeniden Tespit Edilmesine Dair Karar,https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-2.htm
2014-01-01,2013/5762 Kamu Kurum ve Kuruluşlarındaki Geçici Mahiyetteki İşleri Yürütmek Üzere Geçici Personel İstihdamı ve Bu Personele Ödenecek Ücretler Hakkında Karar,https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-3.htm
2014-01-01,— Boğaziçi Üniversitesi Yaz Öğretimi Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-4.htm
2014-01-01,— Canik Başarı Üniversitesi Lisans ve Önlisans Eğitim-Öğretim ve Sınav Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-5.htm
2014-01-01,— İşkolu Tespit Kararı (No: 2013/64),https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-6.htm
2014-01-01,— İşkolu Tespit Kararı (No: 2013/66),https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-7.htm
2014-01-01,— İşkolu Tespit Kararı (No: 2013/67),https://www.resmigazete.gov.tr/eskiler/2014/01/20140101-8.htm
2014-01-01,a - Yargı İlânları,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101-2.htm
2014-01-01,"b - Artırma, Eksiltme ve İhale İlânları",http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101-3.htm
2014-01-01,c - Çeşitli İlânlar,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101-4.htm
2014-01-01,– T.C. Merkez Bankasınca Belirlenen Döviz Kurları ve Devlet İç Borçlanma Senetlerinin Günlük Değerleri,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140101-5.htm
2014-01-02,— Elektrik Piyasası Dağıtım Yönetmeliği,https://www.resmigazete.gov.tr/eskiler/2014/01/20140102-1.htm
2014-01-02,"— Türkiye Sigorta, Reasürans ve Emeklilik Şirketleri Birliğinin Çalışma Usul ve Esasları Hakkında Yönetmelik",https://www.resmigazete.gov.tr/eskiler/2014/01/20140102-2.htm
2014-01-02,— Ortaklıktan Çıkarma ve Satma Hakları Tebliği (II-27.1),https://www.resmigazete.gov.tr/eskiler/2014/01/20140102-3.htm
2014-01-02,— Girişim Sermayesi Yatırım Fonlarına İlişkin Esaslar Tebliği (III-52.4),https://www.resmigazete.gov.tr/eskiler/2014/01/20140102-4.htm
2014-01-02,— Yüksek Seçim Kurulunun 31/12/2013 Tarihli ve 622 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140102-5.htm
2014-01-02,— Yüksek Seçim Kurulunun 31/12/2013 Tarihli ve 623 Sayılı Kararı ve Eki Seçmen Kütüğünün Güncelleştirilmesi Usul ve Esaslarını Gösterir Genelge (Örnek: 140/I),https://www.resmigazete.gov.tr/eskiler/2014/01/20140102-6.htm
2014-01-02,a - Yargı İlânı,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102-2.htm
2014-01-02,"b - Artırma, Eksiltme ve İhale İlânları",http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102-3.htm
2014-01-02,c - Çeşitli İlânlar,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102-4.htm
2014-01-02,– T.C. Merkez Bankasınca Belirlenen Devlet İç Borçlanma Senetlerinin Günlük Değerleri,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2014/01/20140102-5.htm
2014-01-03,— Adalet Bakanlığına Ait Atama Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-1.htm
2014-01-03,— Islah Amaçlı Hayvan Yetiştirici Birliklerinin Kurulması ve Hizmetleri Hakkında Yönetmelikte Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-2.htm
2014-01-03,— Kurumsal Yönetim Tebliği (II-17.1),https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-3.htm
2014-01-03,— Geri Alınan Paylar Tebliği (II-22.1),https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-4.htm
2014-01-03,— Gayrimenkul Yatırım Fonlarına İlişkin Esaslar Tebliği (III-52.3),https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-5.htm
2014-01-03,— Özelleştirme Yüksek Kurulunun 20/12/2013 Tarihli ve 2013/201 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-6.htm
2014-01-03,— Özelleştirme Yüksek Kurulunun 20/12/2013 Tarihli ve 2013/202 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-7.htm
2014-01-03,— Özelleştirme Yüksek Kurulunun 20/12/2013 Tarihli ve 2013/203 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-8.htm
2014-01-03,— Özelleştirme Yüksek Kurulunun 20/12/2013 Tarihli ve 2013/204 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-9.htm
2014-01-03,— Özelleştirme Yüksek Kurulunun 20/12/2013 Tarihli ve 2013/205 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-10.htm
2014-01-03,— Özelleştirme Yüksek Kurulunun 20/12/2013 Tarihli ve 2013/210 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-11.htm
2014-01-03,— Türkiye Afet Müdahale Planı (TAMP) ile İlgili Afet ve Acil Durum Yüksek Kurulunun 20/12/2013 Tarihli ve 2013/2 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-12.htm
2014-01-03,— Anayasa Mahkemesinin 2/1/2014 Tarihli ve 2013/9894 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-13.pdf
2014-01-03,— Anayasa Mahkemesinin 2/1/2014 Tarihli ve 2013/9895 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2014/01/20140103-14.pdf
