Datetime,Text,Hyperlink
2005-01-01,22/6/1927 tarihli ve 5235 sayılı Bakanlar Kurulu Kararı ile yürürlüğe konulan Resmî Gazete'nin Sureti Neşir ve Muamelatının Tarzı İcrasına Dair Yönetmelik uyarınca bugün Resmî Gazete yayımlanmamıştır.,https://www.resmigazete.gov.tr/2011%20Resmi%20Gazeteleri/Resmi%20Gazete%20Tatil%20Şablon/20110101-1.htm
2005-01-02,"2004/8247 Türkiye İle Guatemala Arasında Nota Teatisi Yoluyla İmzalanan, Umuma Mahsus Diplomatik, Hizmet ve Hususi Pasaportların Karşılıklı Olarak Vizeden Muaf Tutulmasına Dair Anlaşma’nın Onaylanması Hakkında Karar",https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-1.htm
2005-01-02,2004/8320 Bazı Yerlerin Uygulama Alanı Olarak Tespiti Hakkında Karar,https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-2.htm
2005-01-02,— Milli Savunma Bakanlığına Ait Atama Kararları,https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-3.htm
2005-01-02,— Yapı Malzemeleri Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik (89/106/EEC),https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-4.htm
2005-01-02,— Fırat Üniversitesi Eğitim-Öğretim ve Sınav Yönetmeliği,https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-5.htm
2005-01-02,— Galatasaray Üniversitesi Ceza Bilimleri Kriminoloji ve İnsan Hakları Araştırma ve Uygulama Merkezi Yönetmeliği,https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-6.htm
2005-01-02,— İşkolu tespit Kararı (No: 2004/67),https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-7.htm
2005-01-02,— 2004 Yılı Kamu İhale Genel Tebliğinde Değişiklik Yapılmasına Dair Tebliğ,https://www.resmigazete.gov.tr/eskiler/2005/01/20050102-8.htm
2005-01-03,"2004/8315 Kültür ve Turizm Bakanlığınca Düzenlenen Hizmet İçi Eğitim, Kurs ve Seminerlerde Ücretle Okutulacak Ders Saatlerinin Sayısı, Ders Görevi Alacakların Nitelikleri ve Diğer Hususların Tespitine İlişkin Esaslar’ın Yürürlüğe Konulması Hakkında Karar",https://www.resmigazete.gov.tr/eskiler/2005/01/20050103-1.htm
2005-01-03,"— Dışişleri Bakanlığı ve Başbakan Yardımcılığına, Milli Savunma Bakanı M. Vecdi GÖNÜL’ün Vekâlet Etmesine Dair Tezkere",https://www.resmigazete.gov.tr/eskiler/2005/01/20050103-2.htm
2005-01-03,— Niğde Üniversitesi Lisansüstü Eğitim-Öğretim ve Sınav Yönetmeliği,https://www.resmigazete.gov.tr/eskiler/2005/01/20050103-3.htm
2005-01-03,— T rakya Üniversitesi Devlet Konservatuvarı Müzik ve Bale İlköğretim Okulu Yönetmeliği,https://www.resmigazete.gov.tr/eskiler/2005/01/20050103-4.htm
2005-01-03,— Türk Parası Kıymetini Koruma Hakkında 32 Sayılı Karar ile Başbakanlık Hazine Müsteşarlığının 91-32/5 Sayılı Tebliğine İlişkin Türkiye Cumhuriyet Merkez Bankası Genelgesi (Sayı: 2005/1),https://www.resmigazete.gov.tr/eskiler/2005/01/20050103-5.htm
2005-01-04,"2004/8298 Aşırı Derecede Yaralayan ve Ayırım Gözetmeyen Etkileri Bulunan Belirli Konyansiyonel Silahların kullanımının Yasaklanması veya Sınırlandırılması Sözleşmesi ve Sözleşmenin 1 inci Maddesinde Yapılan Değişiklik ile Eki I., Tadil Edilmiş II. ve IV. Protokollerin, Sözleşmeye Çekince Konulmak Suretiyle Onaylanması Hakkında Karar",https://www.resmigazete.gov.tr/eskiler/2005/01/20050104-1.htm
2005-01-04,2004/8254 Başkent Üniversitesi Rektörlüğüne Bağlı Olarak Ticari Bilimler Fakültesi Kurulması Hakkında Karar,https://www.resmigazete.gov.tr/eskiler/2005/01/20050104-2.htm
2005-01-04,"2004/8256 Özelleştirme Programında Bulunan Kuruluşların, Kamu Kurum ve Kuruluşlarına Ait Maden Hurdalarının Makina ve Kimya Endüstrisi Kurumu’na Satış Yoluyla Devri Hakkındaki 7/2156 Sayılı Kararna menin Kapsamı Dışına Çıkarılması Hakkında Karar",https://www.resmigazete.gov.tr/eskiler/2005/01/20050104-3.htm
2005-01-04,"— Devlet Bakanı ve Başbakan Yardımcılığı ile Devlet, Adalet, Kültür veTurizm Bakanlıklarına AitAtama Kararları",https://www.resmigazete.gov.tr/eskiler/2005/01/20050104-4.htm
2005-01-04,— Yurt Dışına Gönderilecek Danıştay MeslekMensuplarının Seçimleri ile Diğer Esasların Belirlenmesine İlişkin Yönetmelikte Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2005/01/20050104-5.htm
2005-01-05,"2004/8255 Karayolları Genel Müdürlüğünce Yapılacak Bölünmüş Yol İnşasında Çalışan Personele Yaptırılacak Fazla Çalışmanın Süresi,Şekli ve Ücret Esasları Hakkında Karar",https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-1.htm
2005-01-05,— Hâkimler ve Savcılar Yüksek Kuruluna Ait Karar,https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-2.htm
2005-01-05,— Gençlik ve Spor Genel Müdürlüğü Özerk Spor Federasyonları Çerçeve Statüsünde Değişiklik Yapılmasına Dair Statü,https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-3.htm
2005-01-05,"— Dış Ticarette Standardizasyon Denetmenlerinin Sınav, Görev, Yetki, Sorumluluk, Çalışma, Atama ve Yer Değiştirmeleri Usulüne İlişkin Yönetmelikte Değişiklik Yapılmasına Dair Yönetmelik",https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-4.htm
2005-01-05,— Meslekî ve Teknik Eğitim Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-5.htm
2005-01-05,— Ticari Hava Taşıma İşletmeleri Yönetmeliği (SHY-6A)’nde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-6.htm
2005-01-05,— Kırmızı Et ve Et Ürünleri Üretim Tesislerinin Çalışma ve Denetleme Usul ve Esaslarına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-7.htm
2005-01-05,— Yüksek Öğrenim Kredi ve Yurtlar Kurumu Öğrenim Kredisi Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-8.htm
2005-01-05,— Değerli Kağıtlar Kanunu Genel Tebliği (Seri No: 22),https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-9.htm
2005-01-05,— Harçlar Kanunu Genel Tebliği (Seri No: 46),https://www.resmigazete.gov.tr/eskiler/2005/01/20050105-10.htm
2005-01-06,"2004/8328 Bazı Alanların Turizm Merkezi ile Kültür ve Turizm Koruma ve Gelişim Bölgesi Olarak İlanı, Bazı Turizm Merkezlerinin Sınırlarının Değiştirilmesi ve Bazı Turizm Merkezlerinin Kaldırılması Hakkında Karar",https://www.resmigazete.gov.tr/eskiler/2005/01/20050106-1.htm
2005-01-06,2004/8334 Bazı Petrol Ürünleri ile İlgili Karar,https://www.resmigazete.gov.tr/eskiler/2005/01/20050106-20.htm
2005-01-06,"— Adalet, Dışişleri, Milli Eğitim, Ulaştırma, Tarım ve Köyişleri, Sanayi ve Ticaret, Enerji ve Tabii Kaynaklar, Kültür ve Turizm ile Çevre ve Orman Bakanlıklarına Ait Atama Kararları",https://www.resmigazete.gov.tr/eskiler/2005/01/20050106-21.htm
