Year,Location_Name,Treated,Treated_Label,production,land_use,municipal_burden,external_input,market,FSOI
2014,Muğla,1,New-metropolitan (2012),0.48001864842518044,0.40780812636270775,0.3479148659454569,0.9019125879591972,0.3699305052595349,0.5015169467904154
2016,Muğla,1,New-metropolitan (2012),0.5069061544005907,0.3934087934049216,0.3682656440542941,0.8588207721311583,0.33887817554533245,0.4932559079072594
2018,Muğla,1,New-metropolitan (2012),0.5281820281489,0.3839475251582837,0.20254342431872446,0.9014903245726238,0.3359601651422062,0.4704246934681476
2020,Muğla,1,New-metropolitan (2012),0.550593965772741,0.36047890535672444,0.265358470649565,0.8692223950942073,0.30098034801659995,0.4693268169779675
2008,Manisa,1,New-metropolitan (2012),0.22525541395845258,0.4102922851754146,0.6842660559018972,0.6675734483111369,0.5410783578174055,0.5056931122328614
2010,Manisa,1,New-metropolitan (2012),0.19721066509045024,0.3907678240066807,0.7702045057428557,0.7186060239528032,0.5774026892470747,0.5308383416079729
2012,Manisa,1,New-metropolitan (2012),0.21532079085451353,0.39212545059243176,0.7627425135054542,0.6570536361060983,0.4002602843753503,0.4855005350867696
2014,Manisa,1,New-metropolitan (2012),0.2284008896293992,0.3858122280502597,0.6631178875143876,0.6503150179191319,0.41158331351928173,0.467845867326492
2016,Manisa,1,New-metropolitan (2012),0.22838706753174773,0.38466892310685724,0.5986303061333047,0.6121103209803078,0.3307771723387791,0.43091475801819923
2018,Manisa,1,New-metropolitan (2012),0.24165400412979837,0.37383053259535043,0.6885588146370878,0.6697737276970369,0.3121434872356311,0.457192113258981
2020,Manisa,1,New-metropolitan (2012),0.23455276191484645,0.3758029412126534,0.6263340631616237,0.6468411692111591,0.3139943857407849,0.43950506424821345
2008,Afyonkarahisar,0,Non-metropolitan,0.3537524552564337,0.3191202500370042,0.5397874882081677,0.6237078096283959,0.6769408375977819,0.5026617681455566
2010,Afyonkarahisar,0,Non-metropolitan,0.37675932548703445,0.33782742953272543,0.6020333530124432,0.651888766535528,0.7279270257310119,0.5392871800597485
2012,Afyonkarahisar,0,Non-metropolitan,0.3694849577889738,0.3254761447652513,0.6317930657033717,0.6361390301084602,0.5458925029817805,0.5017571402695674
2014,Afyonkarahisar,0,Non-metropolitan,0.39140760803874447,0.3196769299942107,0.7499965554648198,0.6220864323057687,0.6332987447967292,0.5432932541200545
2016,Afyonkarahisar,0,Non-metropolitan,0.40082144655317514,0.30962166851649287,0.8131800908089424,0.5708861940378346,0.46250761093411974,0.5114034021701129
2018,Afyonkarahisar,0,Non-metropolitan,0.4154900515530389,0.31475753626739106,0.7727727581129205,0.6148052702317179,0.48887919998130963,0.5213409632292756
2020,Afyonkarahisar,0,Non-metropolitan,0.4593016170145928,0.31265662219990636,0.8206997767866864,0.5280628687604559,0.47750851109678744,0.5196458791716858
2008,Kütahya,0,Non-metropolitan,0.29158241499247634,0.32024124221191963,0.5332784603154276,0.9066555066189275,0.428225900302317,0.4959967048882136
2010,Kütahya,0,Non-metropolitan,0.2659057778715609,0.30421066607039865,0.5703609566420149,0.8891298793840612,0.4968797898426332,0.5052974139621338
2012,Kütahya,0,Non-metropolitan,0.26408536132177884,0.3042553488676109,0.7394364775970477,0.8840500233536841,0.3946177705337545,0.5172889963347751
2014,Kütahya,0,Non-metropolitan,0.2802592105744951,0.3022611921103521,0.791437482613232,0.862533404294111,0.39063407659878985,0.525425073238196
2016,Kütahya,0,Non-metropolitan,0.2600856852392374,0.2996239583326573,0.8924813334472793,0.863555248832829,0.3180760586216449,0.5267644568947295
2018,Kütahya,0,Non-metropolitan,0.2953871877232633,0.2901954563679426,0.8874366461479155,0.8606459996487632,0.30926985469148677,0.5285870289158743
2020,Kütahya,0,Non-metropolitan,0.29831442703899597,0.28963882352876186,0.9158441516059173,0.772871825090466,0.28133975056913546,0.5116017955666552
2008,Uşak,0,Non-metropolitan,0.2750391888389151,0.3991319012576249,0.658692161118271,0.787281332407263,0.4807123515049068,0.5201713870253962
2010,Uşak,0,Non-metropolitan,0.305755660698915,0.3968913941422246,0.7545041677478972,0.7609461139018712,0.5931963622372495,0.5622587397456316
2012,Uşak,0,Non-metropolitan,0.297939801487097,0.3921818066552828,0.7807086219543012,0.7424479343307668,0.5076169032397173,0.544179013533433
2014,Uşak,0,Non-metropolitan,0.2884866992825493,0.38772701769765694,0.8365646002273006,0.7599551314292843,0.44754678945264054,0.5440560476178864
2016,Uşak,0,Non-metropolitan,0.28870104939598606,0.3765115231086339,0.7600985830967486,0.7576361089368711,0.42179841974908605,0.5209491368574651
2018,Uşak,0,Non-metropolitan,0.29511284359141554,0.36402127687481933,0.7814807917994735,0.814522236461857,0.3666011812272154,0.5243476659909561
2020,Uşak,0,Non-metropolitan,0.30342049558022155,0.36255370558633665,0.8218956875782526,0.7423077341205353,0.37435685232004695,0.5209068950370787
2008,Bursa,2,Old-metropolitan,0.1612957380776151,0.3010272484347277,0.6900885034673305,0.929492002218149,0.29758101720177005,0.4758969018799185
2010,Bursa,2,Old-metropolitan,0.16776235402669679,0.2871349016478105,0.7228771003345962,0.8689924832591303,0.2959641211899964,0.46854619209164594
2012,Bursa,2,Old-metropolitan,0.16145044965800237,0.2851266155447564,0.7702318714829588,0.8998060512725634,0.23107503557927203,0.46953800470751056
2014,Bursa,2,Old-metropolitan,0.18232094629938078,0.27753879226020256,0.7515355042432399,0.9139941508147671,0.22883745910300435,0.47084537054411896
2016,Bursa,2,Old-metropolitan,0.17224662609294084,0.27112933914929116,0.6631097689749053,0.8994234015907872,0.1708498688684663,0.4353518009352781
2018,Bursa,2,Old-metropolitan,0.19118178164250668,0.26899466170574177,0.6622128335513321,0.9181021261429922,0.18936623114846984,0.44597152683820857
2020,Bursa,2,Old-metropolitan,0.1831290454004965,0.26129508366185406,0.657906749939287,0.8889458334423479,0.16647564779204954,0.43155047204720703
2008,Eskişehir,2,Old-metropolitan,0.29724230036548266,0.2545041749239971,0.7325960157926741,0.7058851816476033,0.34275905820700187,0.4665973461873517
