Year,Location_Name,Treated,Treated_Label,production,land_use,municipal_burden,external_input,FSOI
2008,Türkiye,3,Türkiye,0.2930736891965514,0.3189130974686568,0.5322744714904037,0.8032451139856704,0.4868765930353206
2010,Türkiye,3,Türkiye,0.30882020897250717,0.31035120798604765,0.5684506047001587,0.7731313750130437,0.49018834916793935
2012,Türkiye,3,Türkiye,0.30705575357906767,0.30701952734480714,0.5917692762898303,0.7710388049814692,0.49422084054879356
2014,Türkiye,3,Türkiye,0.3082115472827743,0.3030591991457982,0.5714895249689125,0.771095062261721,0.4884638334148015
2016,Türkiye,3,Türkiye,0.31721461299678655,0.2994918452306369,0.5186410200192524,0.722090738148178,0.4643595540987135
2018,Türkiye,3,Türkiye,0.3195894679928946,0.2979278868634282,0.5487090497709581,0.7965327207103127,0.49068978133439844
2020,Türkiye,3,Türkiye,0.3298708314399856,0.2967015357145798,0.5849236172719583,0.738470831114328,0.4874917038852129
2022,Türkiye,3,Türkiye,0.3317262543657568,0.2937572271554662,0.6694650709956026,0.8031336859525248,0.5245205596173376
2024,Türkiye,3,Türkiye,0.3253716792809726,0.2929375365343413,0.650215562509814,0.7698893372856571,0.5096035289026962
2008,İstanbul,2,Old-metropolitan,0.010848679298987255,0.20216192614647563,0.41206164637716813,0.9985285943431912,0.40590021154145556
2010,İstanbul,2,Old-metropolitan,0.007524394283772423,0.2019094073862183,0.36224020456400263,0.9990511386138928,0.3926812862119715
2012,İstanbul,2,Old-metropolitan,0.009083918370989756,0.20167910428591193,0.464941086001986,0.9974509209659345,0.4182887574062055
2014,İstanbul,2,Old-metropolitan,0.0075949780654345125,0.20151049785827255,0.4631567685121919,0.9935497687337502,0.4164530032924123
2016,İstanbul,2,Old-metropolitan,0.007317846248564163,0.2013823838955739,0.3499206253966828,0.9787399253301745,0.38434019521774887
2018,İstanbul,2,Old-metropolitan,0.007140558561164853,0.20127788237378627,0.39478154951454414,0.9894216538418023,0.3981554110728244
2020,İstanbul,2,Old-metropolitan,0.006777861952019198,0.20119540248360762,0.4578787154149544,0.9962896837803785,0.4155354159077399
2022,İstanbul,2,Old-metropolitan,0.006961029351157903,0.2011334065564324,0.5591711622749934,0.9968604719297954,0.4410315175280948
2024,İstanbul,2,Old-metropolitan,0.005829629146056836,0.20104882459905488,0.5175748143161409,1.0,0.4311133170153132
2008,Tekirdağ,1,New-metropolitan (2012),0.27370191633947216,0.3340015616118502,0.3341582602090628,0.4512004139558343,0.3482655380290549
2010,Tekirdağ,1,New-metropolitan (2012),0.2623156240298691,0.3237010649468296,0.358605083954873,0.4153291275285792,0.3399877251150377
2012,Tekirdağ,1,New-metropolitan (2012),0.2650043961254431,0.3007794730157939,0.43109667878178537,0.4444644145502522,0.3603362406183186
2014,Tekirdağ,1,New-metropolitan (2012),0.2683731696100992,0.3001606055962035,0.48233920810584674,0.5287084265768536,0.39489535247225077
2016,Tekirdağ,1,New-metropolitan (2012),0.270029316070026,0.29937000742849074,0.38912814852402344,0.3993979119579214,0.33948134599511537
2018,Tekirdağ,1,New-metropolitan (2012),0.24744465116499936,0.29099052299903566,0.4164485224967892,0.6302033988216511,0.39627177387061885
2020,Tekirdağ,1,New-metropolitan (2012),0.2525566262815756,0.28282666660401,0.5725486615603254,0.5140622082135344,0.40549854066486135
2022,Tekirdağ,1,New-metropolitan (2012),0.2404660160842101,0.2822345504397979,0.560477343658347,0.6190948229159161,0.42556818327456775
2024,Tekirdağ,1,New-metropolitan (2012),0.22625348414621416,0.2738365451625109,0.5693375843485756,0.7335414512838672,0.45074226623529196
2008,Edirne,0,Non-metropolitan,0.3622126676588342,0.4407640001689975,0.4095071085559572,0.21147994275054205,0.35599092978358277
2010,Edirne,0,Non-metropolitan,0.3711718217319845,0.42797615188910265,0.42442139594763884,0.1110764991086649,0.33366146716934775
2012,Edirne,0,Non-metropolitan,0.35032795612280976,0.39231589757608687,0.33900183436627096,0.11844806523450035,0.30002343832491696
2014,Edirne,0,Non-metropolitan,0.35552944389347924,0.380051640749154,0.48423044394466264,0.15741036112635465,0.3443054724284126
2016,Edirne,0,Non-metropolitan,0.3508952685186607,0.37553936732944493,0.5748989064621055,0.0,0.32533338557755276
2018,Edirne,0,Non-metropolitan,0.3413995811422057,0.36307333579060697,0.7190687348620108,0.2953915569282507,0.42973330218076855
2020,Edirne,0,Non-metropolitan,0.3430973471885777,0.353823290090682,0.7362239538738268,0.00719983556911008,0.36008610668054913
2022,Edirne,0,Non-metropolitan,0.34368075257271885,0.3518786871925052,0.7959684819681822,0.2408093963646991,0.4330843295245263
2024,Edirne,0,Non-metropolitan,0.33068645859871726,0.35202338777545766,0.8121911151914911,0.18063418993845815,0.4188837878760311
2008,Kırklareli,0,Non-metropolitan,0.32248860913563987,0.36326911647571997,0.569524966862683,0.47353368683865404,0.43220409482817423
2010,Kırklareli,0,Non-metropolitan,0.3089282156595558,0.3572606000042314,0.545099746301413,0.4116302610531126,0.40572970575457823
2012,Kırklareli,0,Non-metropolitan,0.31649461246867217,0.31845139178067694,0.9428864488703091,0.36767101482987796,0.486375866987384
2014,Kırklareli,0,Non-metropolitan,0.33963166526497846,0.3374535358740792,0.6705155928304471,0.4052298741009729,0.4382076670176194
2016,Kırklareli,0,Non-metropolitan,0.3272455786458121,0.3331059910413402,0.7135276796694661,0.25522667218134165,0.40727648038449
2018,Kırklareli,0,Non-metropolitan,0.32626679795817276,0.3248108286417866,0.7610448708275597,0.44947466829472493,0.465399291430561
2020,Kırklareli,0,Non-metropolitan,0.3378572703187877,0.32138967541486485,0.7624944807812003,0.330364976739817,0.4380266008136674
2022,Kırklareli,0,Non-metropolitan,0.32570525298049663,0.32161007533816477,0.8621898639845272,0.3596190764719991,0.467281067193797
2024,Kırklareli,0,Non-metropolitan,0.3129385725253275,0.31856983478330453,0.8446239652802222,0.4292860432915898,0.476354603970111
2008,Balıkesir,1,New-metropolitan (2012),0.24389856087953107,0.38104366953838886,0.6683418836207806,0.7931515494993969,0.5216089158845244
2010,Balıkesir,1,New-metropolitan (2012),0.23240247302037165,0.3564912133849204,0.6560194068694906,0.761929980286795,0.5017107683903944
2012,Balıkesir,1,New-metropolitan (2012),0.25244994329698783,0.35666764498961595,0.6661803640353994,0.7737743033872961,0.5122680639273248
2014,Balıkesir,1,New-metropolitan (2012),0.2508374730747371,0.34042691652874213,0.5931438974038543,0.7928008217417098,0.49430227718726083
2016,Balıkesir,1,New-metropolitan (2012),0.29763313445103934,0.334332434940596,0.4145571228399302,0.7304610333366587,0.44424593139205604
2018,Balıkesir,1,New-metropolitan (2012),0.29595255598849607,0.32016054829478674,0.4708323764008897,0.7955831865204316,0.47063216680115105
2020,Balıkesir,1,New-metropolitan (2012),0.30144135113211235,0.3226007857112062,0.6840015004128324,0.7257968169290357,0.5084601135462967
2022,Balıkesir,1,New-metropolitan (2012),0.3208307240311229,0.31211013742133586,0.8007347278570818,0.8029555770979642,0.5591577916018762
2024,Balıkesir,1,New-metropolitan (2012),0.3123869987560183,0.3126759210864385,0.7692685759588506,0.8208883945592222,0.5538049725901324
2008,Çanakkale,0,Non-metropolitan,0.2639796447371691,0.41412480328218504,0.795640726370317,0.6917694688690084,0.5413786608146699
2010,Çanakkale,0,Non-metropolitan,0.3102520173774724,0.41684795595330015,0.8028035579884039,0.6654510971757697,0.5488386571237365
2012,Çanakkale,0,Non-metropolitan,0.341226877221781,0.4169783861961248,0.7877092383347989,0.6748103332666271,0.5551812087548329
2014,Çanakkale,0,Non-metropolitan,0.34797008372907395,0.39924896084081063,0.7987829089017997,0.7004574653131143,0.5616148546961997
2016,Çanakkale,0,Non-metropolitan,0.35174435708595336,0.4020322199133016,0.6655845417696831,0.6227428405120444,0.5105259898202457
2018,Çanakkale,0,Non-metropolitan,0.3661779951608563,0.39893065514039844,0.5651079904660044,0.6939922509481489,0.506052222928852
2020,Çanakkale,0,Non-metropolitan,0.3904436306875473,0.4035031131786183,0.6103147153612456,0.6403044563085243,0.5111414788839839
2022,Çanakkale,0,Non-metropolitan,0.40494731398591566,0.384581504462166,0.6620511068838266,0.7411622452781923,0.5481855426525251
2024,Çanakkale,0,Non-metropolitan,0.3821270448748862,0.37326761131557873,0.6258066513221074,0.7569987209404432,0.5345500071132538
2008,İzmir,2,Old-metropolitan,0.19528764243066052,0.2680409553036772,0.6247523711682097,0.926472279378507,0.5036383120702637
2010,İzmir,2,Old-metropolitan,0.21275300036658726,0.2634406469195708,0.5041071777555952,0.9124366026509683,0.4731843569231804
2012,İzmir,2,Old-metropolitan,0.21650866017865242,0.26369561621820486,0.5770907013615117,0.9145481329963813,0.4929607776886876
2014,İzmir,2,Old-metropolitan,0.22642360412342893,0.26009774282991505,0.5998430155347354,0.9108235252619771,0.4992969719375141
2016,İzmir,2,Old-metropolitan,0.21767974139682272,0.2558922996627585,0.4858469294420771,0.8944063491774729,0.4634563299197828
2018,İzmir,2,Old-metropolitan,0.21865743170498234,0.25375443527823915,0.46079802105089507,0.9167231562409764,0.46248326106877324
